workerId,opName,nanoTime,numTuples,eventType
5,Join,977658555,-1,return
5,SendResult,977677560,-1,return
5,SendResult,992022908,-1,call
5,Join,992048265,-1,call
5,GatherR,992070575,-1,call
5,GatherR,992105174,1220,return
5,GatherS,992753984,-1,call
5,GatherS,992778649,-1,return
5,GatherR,992804626,-1,call
5,GatherR,992826986,-1,return
5,GatherS,992850054,-1,call
5,GatherS,992870634,-1,return
5,Join,992893472,-1,return
5,SendResult,992925677,-1,return
5,SendResult,1001022241,-1,call
5,Join,1001053668,-1,call
5,GatherR,1001076670,-1,call
5,GatherR,1001098298,-1,return
5,GatherS,1001123634,-1,call
5,GatherS,1001159208,1044,return
5,Join,1001763402,140,return
5,SendResult,1032648913,140,return
5,SendResult,1032675463,-1,call
5,Join,1032696589,-1,call
5,GatherR,1032719750,-1,call
5,GatherR,1032742983,-1,return
5,GatherS,1032784385,-1,call
5,GatherS,1032833858,1074,return
5,GatherR,1033560199,-1,call
5,GatherR,1033584526,-1,return
5,GatherS,1033612015,-1,call
5,GatherS,1033647059,1055,return
5,GatherR,1034059213,-1,call
5,GatherR,1034084243,-1,return
5,GatherS,1034120174,-1,call
5,GatherS,1034178331,1017,return
5,GatherR,1034600730,-1,call
5,GatherR,1034624583,-1,return
5,GatherS,1034648730,-1,call
5,GatherS,1034682052,1056,return
5,GatherR,1035088739,-1,call
5,GatherR,1035111896,-1,return
5,GatherS,1035135714,-1,call
5,GatherS,1035159731,-1,return
5,Join,1035184258,-1,return
5,SendResult,1035204336,-1,return
5,SendResult,1035229521,-1,call
5,Join,1035249232,-1,call
5,GatherR,1035270314,-1,call
5,GatherR,1035290812,-1,return
5,GatherS,1035314049,-1,call
5,GatherS,1035334563,-1,return
5,Join,1035356893,-1,return
5,SendResult,1035376793,-1,return
5,SendResult,1042022506,-1,call
5,Join,1042047329,-1,call
5,GatherR,1042075642,-1,call
5,GatherR,1042097479,-1,return
5,GatherS,1042122630,-1,call
5,GatherS,1042156923,1043,return
5,GatherR,1042675824,-1,call
5,GatherR,1042699515,-1,return
5,GatherS,1042723815,-1,call
5,GatherS,1042744391,-1,return
5,Join,1042767095,-1,return
5,SendResult,1042787021,-1,return
5,SendResult,1066022746,-1,call
5,Join,1066048091,-1,call
5,GatherR,1066070533,-1,call
5,GatherR,1066092204,-1,return
5,GatherS,1066136465,-1,call
5,GatherS,1066183659,1076,return
5,GatherR,1066880624,-1,call
5,GatherR,1066904900,-1,return
5,GatherS,1066929327,-1,call
5,GatherS,1066953407,-1,return
5,Join,1066976723,-1,return
5,SendResult,1066997001,-1,return
5,SendResult,1083023658,-1,call
5,Join,1083048583,-1,call
5,GatherR,1083084664,-1,call
5,GatherR,1083123445,1209,return
5,GatherS,1084384786,-1,call
5,GatherS,1084411776,-1,return
5,GatherR,1084439664,-1,call
5,GatherR,1084484458,1239,return
5,GatherS,1085457630,-1,call
5,GatherS,1085483237,-1,return
5,GatherR,1085534448,-1,call
5,GatherR,1085558470,-1,return
5,GatherS,1085599389,-1,call
5,GatherS,1085621058,-1,return
5,Join,1085656407,-1,return
5,SendResult,1085678019,-1,return
5,SendResult,1085703722,-1,call
5,Join,1085724389,-1,call
5,GatherR,1085746705,-1,call
5,GatherR,1085768416,-1,return
5,GatherS,1085792645,-1,call
5,GatherS,1085814069,-1,return
5,Join,1085837532,-1,return
5,SendResult,1085858168,-1,return
5,SendResult,1127021833,-1,call
5,Join,1127045083,-1,call
5,GatherR,1127070990,-1,call
5,GatherR,1127131526,1246,return
5,GatherS,1127991322,-1,call
5,GatherS,1128024925,-1,return
5,GatherR,1128064771,-1,call
5,GatherR,1128102458,-1,return
5,GatherS,1128139110,-1,call
5,GatherS,1128179397,-1,return
5,Join,1128215713,-1,return
5,SendResult,1128240891,-1,return
5,SendResult,1167040125,-1,call
5,Join,1167081970,-1,call
5,GatherR,1167133861,-1,call
5,GatherR,1167170711,1229,return
5,GatherS,1167950907,-1,call
5,GatherS,1167976592,-1,return
5,GatherR,1168003186,-1,call
5,GatherR,1168026885,-1,return
5,GatherS,1168066343,-1,call
5,GatherS,1168104709,-1,return
5,Join,1168144583,-1,return
5,SendResult,1168167115,-1,return
5,SendResult,1218033834,-1,call
5,Join,1218057930,-1,call
5,GatherR,1218079056,-1,call
5,GatherR,1218112820,1218,return
5,GatherS,1218845912,-1,call
5,GatherS,1218868552,-1,return
5,GatherR,1218896143,-1,call
5,GatherR,1218916245,-1,return
5,GatherS,1218938293,-1,call
5,GatherS,1218958154,-1,return
5,Join,1218979980,-1,return
5,SendResult,1218999274,-1,return
5,SendResult,1227021572,-1,call
5,Join,1227045489,-1,call
5,GatherR,1227066742,-1,call
5,GatherR,1227101474,1298,return
5,GatherS,1227879107,-1,call
5,GatherS,1227901421,-1,return
5,GatherR,1227925643,-1,call
5,GatherR,1227945935,-1,return
5,GatherS,1227968089,-1,call
5,GatherS,1227987987,-1,return
5,Join,1228009744,-1,return
