time,value
1379037735,"[1, 8]"
1380035586,"[1, 3, 8]"
1380051474,"[1, 3, 4, 8]"
1380074673,"[1, 3, 4]"
1380508029,"[1, 4]"
1380683604,[4]
1381396073,[]
1383034885,[1]
1386035212,"[1, 8]"
1386447083,[1]
1388034503,"[1, 2]"
1389021556,"[1, 2, 4]"
1389028282,"[1, 2, 4, 7]"
1389211921,"[1, 4, 7]"
1389398502,"[1, 7]"
1389545503,[1]
1391024345,"[1, 7]"
1391031203,"[1, 6, 7]"
1391463544,"[1, 6]"
1392317345,[1]
1392798883,[]
1392826746,[1]
1392989998,[]
1394040476,[3]
1394735182,[]
1395035517,[8]
1396022860,"[3, 8]"
1396031245,[3]
1396035562,"[2, 3]"
1396425406,[2]
1396436779,[]
1397023995,[4]
1397993031,[]
1399033757,[6]
1399572705,[]
1402035460,[5]
1403023978,"[5, 8]"
1403244616,[8]
1403396204,[]
1404022058,[2]
1404988837,[]
1405034472,[4]
1405387323,[]
1407023633,[6]
1408098321,[]
1412021753,[2]
1412022534,"[2, 8]"
1412028128,"[1, 2, 8]"
1412368484,"[1, 8]"
1412389413,[1]
1413250077,[]
1414023444,[4]
1414378497,[]
1415028665,[6]
1415401034,[]
1417038680,[7]
1418220293,[]
1420034188,[8]
1420395453,[]
1421036850,[2]
1421454630,[]
1422024148,[4]
1422028294,"[3, 4]"
1422440761,[3]
1423036445,"[3, 6]"
1423318041,[6]
1423417052,[]
1428023598,[8]
1428385173,[]
1429035651,[1]
1429035918,"[1, 2]"
1429581663,[1]
1430047265,"[1, 4]"
1430512304,[1]
1431766884,[]
1431793334,[1]
1431952848,[]
1432039989,[6]
1432603598,[]
1433034673,[7]
1433423710,[]
1434037253,[5]
1435032195,"[5, 7]"
1435282073,[7]
1436302395,[]
1437024963,[2]
1437464058,[]
1438025982,[3]
1439392143,[]
1439418808,[3]
1439577860,[]
1441023960,[6]
1441403608,[]
1442022564,[8]
1442401284,[]
1444022476,[8]
1444370307,[]
1445046276,[4]
1445609933,[]
1447022771,[4]
1447420038,[]
1450040850,[6]
1450418060,[]
1452037478,[2]
1452490692,[]
1453023080,[2]
1453437767,[]
1457045436,[6]
1457500039,[]
1470062378,[8]
1471266746,[]
1472036418,[4]
1473210672,[]
1479028427,[2]
1480042242,"[1, 2]"
1480178227,[1]
1481043160,[]
1482023395,[6]
1483396844,[]
1485024260,[7]
1486035060,"[7, 8]"
1486113947,[8]
1486450186,[]
1487021415,[8]
1487987507,[]
1488036497,[4]
1488397612,[]
1489030588,[4]
1489978873,[]
1490023729,[3]
1491088044,[]
1494049363,[5]
1495024234,"[2, 5]"
1495184205,[2]
1495394798,[]
1496033734,[2]
1497099999,[]
1498024315,[6]
1498502028,[]
1498526887,[6]
1499758723,[]
1502025519,[5]
1503233560,[]
1510021650,[5]
1511040527,"[1, 5]"
1511211604,[1]
1512220413,[]
1517024199,[7]
1518156462,[]
1519044030,[5]
1520459882,[]
1521025899,[3]
1522100997,[]
1526045624,[5]
1527791390,[]
1534037886,[5]
1535734995,[]
1536022269,[8]
1537346402,[]
1539038950,[4]
1539905998,[]
1544033654,[5]
1545462852,[]
1546112012,[2]
1547185276,[]
1549022965,[6]
1550161278,[]
1552025640,[5]
1553616597,[]
1560028326,[5]
1561174126,[]
1570020601,[8]
1570913296,[]
1572028960,[1]
1572037859,"[1, 4]"
1572901416,[1]
1572990231,[]
1576037760,[5]
1577025280,"[5, 7]"
1577898974,[7]
1578057922,[]
1579034098,[2]
1580028341,"[1, 2]"
1580050641,[1]
1580974381,[]
1581025813,[3]
1582026775,"[3, 6]"
1582082884,[6]
1583023756,[]
1584037562,[5]
1585026530,"[5, 7]"
1585359518,[7]
1586085585,[]
1588021405,[1]
1588964929,[]
1589024446,[3]
1590071422,[]
1594035750,[7]
